每日设备状态报表 - 2026-06-19

按设备类型统计
设备类型,总数,在租,空闲
挖掘机,3,1,2
装载机,2,0,2
起重机,2,1,1
压路机,2,0,2
推土机,2,0,2

设备明细
设备编号,设备类型,型号,小时费率,累计工时,状态,当前客户,起租日期,预计归还日期,距上次保养工时,下次保养剩余工时
YL-001,压路机,徐工XS223J,¥180.00/h,456.0h,空闲,-,-,-,456.0h,0.0h
YL-002,压路机,三一SSR220AC,¥190.00/h,0.0h,空闲,-,-,-,0.0h,200.0h
WJ-001,挖掘机,卡特彼勒320D,¥280.00/h,0.0h,在租,宏达建设工程有限公司,2026-06-14,2026-06-24,-800.0h,1000.0h
WJ-002,挖掘机,小松PC200,¥260.00/h,290.0h,空闲,-,-,-,130.0h,70.0h
WJ-003,挖掘机,神钢SK210,¥270.00/h,0.0h,空闲,-,-,-,-180.0h,380.0h
TT-001,推土机,山推SD16,¥240.00/h,785.0h,空闲,-,-,-,785.0h,0.0h
TT-002,推土机,小松D65PX,¥260.00/h,0.0h,空闲,-,-,-,0.0h,200.0h
ZZ-001,装载机,柳工CLG856,¥220.00/h,524.0h,空闲,-,-,-,524.0h,0.0h
ZZ-002,装载机,徐工LW500FN,¥210.00/h,0.0h,空闲,-,-,-,-300.0h,500.0h
QZ-001,起重机,中联重科QY25V,¥450.00/h,0.0h,在租,恒达路桥有限公司,2026-06-16,2026-06-21,0.0h,250.0h
QZ-002,起重机,三一STC250,¥480.00/h,0.0h,空闲,-,-,-,-1000.0h,1250.0h
